Date,Region,Brand,Model,Vehicle_Type,Battery_Capacity_kWh,Discount_Percentage,Customer_Segment,Fast_Charging_Option,Units_Sold,Revenue
2023-07,Oceania,Toyota,i4,Crossover,62,6,High Income,No,260,3699780
2023-03,Oceania,Toyota,Leaf,Truck,70,19,High Income,Yes,347,7801424
2023-05,North America,Toyota,ID.5,Crossover,81,13,Middle Income,No,294,4813013
2023-02,Oceania,Tesla,Corolla EV,Truck,73,4,High Income,Yes,281,7484912
2023-10,North America,BYD,Leaf,Coupe,52,4,High Income,No,166,4025360
2023-03,South America,Tesla,i4,Sedan,59,17,Budget Conscious,Yes,204,3250425
2023-06,North America,Ford,Leaf,Hatchback,68,1,Middle Income,Yes,145,2879105
2023-07,South America,BMW,Rio EV,Sedan,54,7,Middle Income,Yes,389,6866527
2023-06,North America,Kia,i4,Sedan,51,14,High Income,No,278,4684608
2023-07,North America,BYD,Leaf,Hatchback,44,12,Tech Enthusiast,Yes,152,2669600
2023-06,South America,Nissan,ID.3,SUV,52,1,Budget Conscious,Yes,216,4383712
2023-07,Africa,Volkswagen,Leaf,Hatchback,49,2,Middle Income,Yes,163,3186506
2023-10,Asia,Nissan,ID.5,Coupe,99,1,Eco-Conscious,Yes,306,30162294
2023-09,Africa,Nissan,Ariya,Crossover,66,1,Tech Enthusiast,No,73,1421046
2023-10,Europe,Toyota,i4,Truck,69,20,Eco-Conscious,Yes,270,4268616
2023-01,Oceania,Ford,Mach-E,Truck,70,12,High Income,No,223,4573624
2023-09,North America,BYD,Atto 3,Crossover,76,0,Middle Income,No,272,9120832
2023-01,Asia,Hyundai,Atto 3,Hatchback,53,11,Budget Conscious,Yes,320,5692944
2023-04,Asia,Ford,iX,Sedan,94,19,High Income,Yes,188,2572072
2023-01,North America,BMW,Model 3,Truck,64,7,High Income,Yes,159,3362673
2023-03,Oceania,Ford,iX,SUV,87,17,Tech Enthusiast,No,398,11202444
2023-11,North America,Hyundai,Tucson EV,Truck,72,8,Budget Conscious,No,371,9436280
2023-06,South America,BYD,Atto 3,Coupe,84,18,High Income,Yes,242,3966474
2023-03,Asia,BMW,Atto 3,SUV,56,7,High Income,No,73,1114259
2023-09,Oceania,BYD,Model 3,Crossover,73,7,Tech Enthusiast,No,372,8744928
2023-03,Africa,Toyota,ID.5,Hatchback,90,7,Tech Enthusiast,Yes,320,9340800
2023-08,South America,Volkswagen,Leaf,Hatchback,49,3,Eco-Conscious,No,185,3645005
2023-06,North America,Kia,Leaf,Crossover,62,0,High Income,Yes,88,2779040
2023-06,North America,Nissan,Atto 3,Sedan,65,3,Budget Conscious,Yes,164,3200030
2023-09,Oceania,Ford,ID.4,Crossover,42,16,Tech Enthusiast,Yes,175,2169350
2023-11,South America,BMW,Leaf,Hatchback,85,10,Budget Conscious,No,277,5925907
2023-09,Asia,Hyundai,Model Y,Hatchback,72,20,High Income,Yes,192,3075840
